"cc_num","hour","transaction_count","average_amount"
"577891228931","1","1",9.91
"577891228931","6","1",304.08
"577891228931","7","1",257.47
"577891228931","16","1",1105.42
"577891228931","22","3",718.9066666666668
"577891228931","23","5",991.2280000000001
"676327197445","0","1",294
"676327197445","1","1",9.98
"676327197445","22","4",981.6250000000001
"676327197445","23","2",983.7349999999999
"4593569795412","0","3",106.56
"4593569795412","1","4",309.0525
"4593569795412","2","1",9.21
"4593569795412","3","1",285.81
"4593569795412","14","1",20.27
"4593569795412","22","3",1062.5966666666666
"4593569795412","23","6",562.16
